City,Airport,Acronym,Latitude,Longitude,re_check_in
Goroka,Goroka Airport,GKA,-6.081689834590001,145.391998291,1
Madang,Madang Airport,MAG,-5.20707988739,145.789001465,1
Mount Hagen,Mount Hagen Kagamuga Airport,HGU,-5.826789855957031,144.29600524902344,1
Nadzab,Nadzab Airport,LAE,-6.569803,146.725977,1
Port Moresby,Port Moresby Jacksons International Airport,POM,-9.44338035583496,147.22000122070312,0
Wewak,Wewak International Airport,WWK,-3.58383011818,143.669006348,1
Narssarssuaq,Narsarsuaq Airport,UAK,61.1604995728,-45.4259986877,0
Godthaab,Godthaab / Nuuk Airport,GOH,64.19090271,-51.6781005859,0
Sondrestrom,Kangerlussuaq Airport,SFJ,67.0122218992,-50.7116031647,0
Thule,Thule Air Base,THU,76.5311965942,-68.7032012939,0
Akureyri,Akureyri Airport,AEY,65.66000366210938,-18.07270050048828,1
Egilsstadir,Egilsstaðir Airport,EGS,65.2833023071289,-14.401399612426758,0
Hofn,Hornafjörður Airport,HFN,64.295601,-15.2272,0
Husavik,Húsavík Airport,HZK,65.952301,-17.426001,1
Isafjordur,Ísafjörður Airport,IFJ,66.05809783935547,-23.135299682617188,0
Keflavik,Keflavik International Airport,KEF,63.985000610352,-22.605600357056,1
Patreksfjordur,Patreksfjörður Airport,PFJ,65.555801,-23.965,1
Reykjavik,Reykjavik Airport,RKV,64.1299972534,-21.9405994415,0
Siglufjordur,Siglufjörður Airport,SIJ,66.133301,-18.9167,1
Vestmannaeyjar,Vestmannaeyjar Airport,VEY,63.42430114746094,-20.27890014648437,1
Sault Sainte Marie,Sault Ste Marie Airport,YAM,46.48500061035156,-84.5093994140625,1
Winnipeg,Winnipeg / St. Andrews Airport,\N,50.0564002991,-97.0325012207,0
Halifax,Halifax / CFB Shearwater Heliport,\N,44.639702,-63.499401,1
St. Anthony,St. Anthony Airport,YAY,51.3918991089,-56.083099365200006,1
Tofino,Tofino / Long Beach Airport,YAZ,49.079833,-125.775583,0
Pelly Bay,Kugaaruk Airport,YBB,68.534401,-89.808098,1
Baie Comeau,Baie Comeau Airport,YBC,49.13249969482422,-68.20439910888672,0
Bagotville,CFB Bagotville,YBG,48.33060073852539,-70.99639892578125,1
Baker Lake,Baker Lake Airport,YBK,64.29889678960001,-96.077796936,1
Campbell River,Campbell River Airport,YBL,49.950801849365234,-125.27100372314452,1
Brandon,Brandon Municipal Airport,YBR,49.91,-99.951897,0
Cambridge Bay,Cambridge Bay Airport,YCB,69.1081008911,-105.138000488,0
Nanaimo,Nanaimo Airport,YCD,49.0549702249,-123.869862556,0
Castlegar,Castlegar/West Kootenay Regional Airport,YCG,49.2963981628,-117.632003784,1
Chatham,Miramichi Airport,YCH,47.007801,-65.449203,1
Charlo,Charlo Airport,YCL,47.990799,-66.330299,0
Coppermine,Kugluktuk Airport,YCO,67.816704,-115.143997,1
Coronation,Coronation Airport,YCT,52.0750007629,-111.444999695,0
Chilliwack,Chilliwack Airport,YCW,49.1528015137,-121.939002991,0
Clyde River,Clyde River Airport,YCY,70.4860992432,-68.5167007446,0
Coral Harbour,Coral Harbour Airport,YZS,64.1932983398,-83.3593978882,1
Dawson,Dawson City Airport,YDA,64.04309844970703,-139.1280059814453,0
Burwash,Burwash Airport,YDB,61.37110137939453,-139.04100036621094,1
Princeton,Princeton Airport,\N,49.4681015015,-120.511001587,1
Deer Lake,Deer Lake Airport,YDF,49.21080017089844,-57.39139938354492,0
Dease Lake,Dease Lake Airport,YDL,58.4221992493,-130.031997681,1
Dauphin,Dauphin Barker Airport,YDN,51.10079956054688,-100.052001953125,0
Dawson Creek,Dawson Creek Airport,YDQ,55.7422981262207,-120.18299865722656,0
Edmonton,Edmonton International Airport,YEG,53.3097000122,-113.580001831,1
